Title	xmlUrl	htmlUrl
HumaNature	http://feeds.podtrac.com/0HsQUhE5lGnQ	http://humanaturepodcast.org/
KCRW's The Organist	http://feeds.kcrw.com/kcrw/to	http://www.kcrw.com/news-culture/shows/the-organist
Connected	https://www.relay.fm/connected/feed	https://www.relay.fm/connected
Fresh Air	http://www.npr.org/rss/podcast.php?id=13	http://www.npr.org/programs/fresh-air/
International Waters	http://www.maximumfun.org/feeds/iw.xml	http://www.maximumfun.org/
Wisconsin Life	http://feeds.feedburner.com/WisconsinLife	http://wisconsinlife.org/
Hot Pod	http://feeds.soundcloud.com/users/soundcloud:users:183079918/sounds.rss	http://soundcloud.com/hotpod
The Talk Show With John Gruber	http://daringfireball.net/thetalkshow/rss	http://daringfireball.net/thetalkshow
Snap Judgment	http://feeds.wnyc.org/snapjudgment-wnyc	http://www.wnyc.org/shows/snapjudgment
Roenick Life Podcast with JR and Jaffe	http://feeds.feedburner.com/RoenickLife	https://art19.com/shows/roenick-life
99% Invisible	http://feeds.99percentinvisible.org/99percentinvisible	http://99percentinvisible.org/
The Leonard Lopate Show	http://feeds.wnyc.org/wnyc_lopate	http://www.wnyc.org/shows/lopate
The Joe Rogan Experience	http://joeroganexp.joerogan.libsynpro.com/rss	http://blog.joerogan.net/
Buddhist Geeks	http://feeds.feedburner.com/BuddhistGeeksPodcast	http://www.buddhistgeeks.com/
the memory palace	http://memorypalace.wm.wizzard.tv/rss	http://thememorypalace.us/
The Moby-Dick Big Read	http://feeds.feedburner.com/mobydickbigread	http://mobydickbigread.com/
The Longest Shortest Time	http://feeds.soundcloud.com/users/soundcloud:users:179550429/sounds.rss	http://longestshortesttime.com/
The Heart	http://feeds.feedburner.com/AudioSmut	http://theheartradio.org/
The Noise Pop Podcast	http://noisepop.libsyn.com/rss	http://www.noisepop.com/podcast
Millennial	http://feeds.soundcloud.com/users/soundcloud:users:133387656/sounds.rss	http://millennialpodcast.org/
You're the Expert	http://feeds.feedburner.com/youretheexpert	http://youretheexpert.libsyn.com/
Pop Culture Happy Hour	http://www.npr.org/rss/podcast.php?id=510282	http://www.npr.org/blogs/monkeysee/129472378/pop-culture-happy-hour/
The Economist: Babbage	http://rss.acast.com/theeconomistbabbage	http://www.economist.com/
The Art of Charm | Social Science | Cognitive Psychology | Confidence | Relationship Advice | Biohacking | Productivity	http://theartofcharmpodcast.theartofcharm.libsynpro.com/rss	http://www.theartofcharmpodcast.com/
To the Best of Our Knowledge	http://feeds.feedburner.com/ttbook	http://ttbook.org/
